artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,href,id,name,popularity,preview_url,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.569,0.741,5,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118,77sMIMlNaSURUAXq5coCxE,https://api.spotify.com/v1/audio-analysis/77sMIMlNaSURUAXq5coCxE,4,,,1,241591,FALSE,https://api.spotify.com/v1/tracks/77sMIMlNaSURUAXq5coCxE,FALSE,Fearless (Taylor’s Version),NA,1,track,spotify:track:77sMIMlNaSURUAXq5coCxE,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE,Fearless (Taylor's Version),F,major,F major,https://api.spotify.com/v1/tracks/77sMIMlNaSURUAXq5coCxE,77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),69,NA,spotify:track:77sMIMlNaSURUAXq5coCxE,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100618
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.559,0.646,7,-4.61,1,0.0272,0.116,0,0.32,0.289,95.466,2nqio0SfWg6gh2eCtfuMa5,https://api.spotify.com/v1/audio-analysis/2nqio0SfWg6gh2eCtfuMa5,4,,,1,294419,FALSE,https://api.spotify.com/v1/tracks/2nqio0SfWg6gh2eCtfuMa5,FALSE,Fifteen (Taylor’s Version),NA,2,track,spotify:track:2nqio0SfWg6gh2eCtfuMa5,https://open.spotify.com/track/2nqio0SfWg6gh2eCtfuMa5,Fearless (Taylor's Version),G,major,G major,https://api.spotify.com/v1/tracks/2nqio0SfWg6gh2eCtfuMa5,2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),65,NA,spotify:track:2nqio0SfWg6gh2eCtfuMa5,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100619
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-6,0.0845,0.415,119.054,6YvqWjhGD8mB5QXcbcUKtx,https://api.spotify.com/v1/audio-analysis/6YvqWjhGD8mB5QXcbcUKtx,4,,,1,235766,FALSE,https://api.spotify.com/v1/tracks/6YvqWjhGD8mB5QXcbcUKtx,FALSE,Love Story (Taylor’s Version),NA,3,track,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx,Fearless (Taylor's Version),D,major,D major,https://api.spotify.com/v1/tracks/6YvqWjhGD8mB5QXcbcUKtx,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),73,NA,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100342
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.788,0.571,6,-6.135,1,0.0296,0.106,0,0.0934,0.797,115.99,550erGcdD9n6PnwxrvYqZT,https://api.spotify.com/v1/audio-analysis/550erGcdD9n6PnwxrvYqZT,4,,,1,254254,FALSE,https://api.spotify.com/v1/tracks/550erGcdD9n6PnwxrvYqZT,FALSE,Hey Stephen (Taylor’s Version),NA,4,track,spotify:track:550erGcdD9n6PnwxrvYqZT,https://open.spotify.com/track/550erGcdD9n6PnwxrvYqZT,Fearless (Taylor's Version),F#,major,F# major,https://api.spotify.com/v1/tracks/550erGcdD9n6PnwxrvYqZT,550erGcdD9n6PnwxrvYqZT,Hey Stephen (Taylor’s Version),65,NA,spotify:track:550erGcdD9n6PnwxrvYqZT,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100620
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.423,0.517,0,-7.377,1,0.0486,0.369,0,0.177,0.366,185.262,5YL553x8sHderRBDlm3NM3,https://api.spotify.com/v1/audio-analysis/5YL553x8sHderRBDlm3NM3,4,,,1,234515,FALSE,https://api.spotify.com/v1/tracks/5YL553x8sHderRBDlm3NM3,FALSE,White Horse (Taylor’s Version),NA,5,track,spotify:track:5YL553x8sHderRBDlm3NM3,https://open.spotify.com/track/5YL553x8sHderRBDlm3NM3,Fearless (Taylor's Version),C,major,C major,https://api.spotify.com/v1/tracks/5YL553x8sHderRBDlm3NM3,5YL553x8sHderRBDlm3NM3,White Horse (Taylor’s Version),65,NA,spotify:track:5YL553x8sHderRBDlm3NM3,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100621
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,1qrpoAMXodY6895hGKoUpA,https://api.spotify.com/v1/audio-analysis/1qrpoAMXodY6895hGKoUpA,4,,,1,231124,FALSE,https://api.spotify.com/v1/tracks/1qrpoAMXodY6895hGKoUpA,FALSE,You Belong With Me (Taylor’s Version),NA,6,track,spotify:track:1qrpoAMXodY6895hGKoUpA,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA,Fearless (Taylor's Version),F#,major,F# major,https://api.spotify.com/v1/tracks/1qrpoAMXodY6895hGKoUpA,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),74,NA,spotify:track:1qrpoAMXodY6895hGKoUpA,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100622
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.506,0.626,1,-6.066,1,0.0287,0.156,0,0.228,0.321,148.035,7HC7R2D8WjXVcUHJyEGjRs,https://api.spotify.com/v1/audio-analysis/7HC7R2D8WjXVcUHJyEGjRs,4,,,1,263377,FALSE,https://api.spotify.com/v1/tracks/7HC7R2D8WjXVcUHJyEGjRs,FALSE,Breathe (feat. Colbie Caillat) (Taylor’s Version),NA,7,track,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,https://open.spotify.com/track/7HC7R2D8WjXVcUHJyEGjRs,Fearless (Taylor's Version),C#,major,C# major,https://api.spotify.com/v1/tracks/7HC7R2D8WjXVcUHJyEGjRs,7HC7R2D8WjXVcUHJyEGjRs,Breathe (feat. Colbie Caillat) (Taylor’s Version),63,NA,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100623
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.578,0.909,7,-3.669,1,0.0628,0.0222,0,0.333,0.541,100.023,0k0vFacOHNuArLWMiH60p7,https://api.spotify.com/v1/audio-analysis/0k0vFacOHNuArLWMiH60p7,4,,,1,200575,FALSE,https://api.spotify.com/v1/tracks/0k0vFacOHNuArLWMiH60p7,FALSE,Tell Me Why (Taylor’s Version),NA,8,track,spotify:track:0k0vFacOHNuArLWMiH60p7,https://open.spotify.com/track/0k0vFacOHNuArLWMiH60p7,Fearless (Taylor's Version),G,major,G major,https://api.spotify.com/v1/tracks/0k0vFacOHNuArLWMiH60p7,0k0vFacOHNuArLWMiH60p7,Tell Me Why (Taylor’s Version),62,NA,spotify:track:0k0vFacOHNuArLWMiH60p7,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100624
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.506,0.444,6,-4.99,1,0.0285,0.0538,0,0.123,0.241,133.873,6iiAfo4wTA2CVC3Uwx9uh8,https://api.spotify.com/v1/audio-analysis/6iiAfo4wTA2CVC3Uwx9uh8,4,,,1,261842,FALSE,https://api.spotify.com/v1/tracks/6iiAfo4wTA2CVC3Uwx9uh8,FALSE,You’re Not Sorry (Taylor’s Version),NA,9,track,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,https://open.spotify.com/track/6iiAfo4wTA2CVC3Uwx9uh8,Fearless (Taylor's Version),F#,major,F# major,https://api.spotify.com/v1/tracks/6iiAfo4wTA2CVC3Uwx9uh8,6iiAfo4wTA2CVC3Uwx9uh8,You’re Not Sorry (Taylor’s Version),63,NA,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100625
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.402,0.732,5,-4.665,1,0.0484,0.0033,0,0.108,0.472,161.032,22bPsP2jCgbLUvh82U0Z3M,https://api.spotify.com/v1/audio-analysis/22bPsP2jCgbLUvh82U0Z3M,4,,,1,243136,FALSE,https://api.spotify.com/v1/tracks/22bPsP2jCgbLUvh82U0Z3M,FALSE,The Way I Loved You (Taylor’s Version),NA,10,track,spotify:track:22bPsP2jCgbLUvh82U0Z3M,https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M,Fearless (Taylor's Version),F,major,F major,https://api.spotify.com/v1/tracks/22bPsP2jCgbLUvh82U0Z3M,22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You (Taylor’s Version),73,NA,spotify:track:22bPsP2jCgbLUvh82U0Z3M,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100626
