id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
_9RWI5JBew0,"Taylor Swift - Mine (Live, BBC Radio 2 Session)",2011-08-24T11:29:30Z,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Music video by Taylor Swift performing Mine. (C) 2010 BBC under exclusive licence to Universal International Music BV",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,1763678,23082,439,0,1450,https://www.youtube.com/watch?v=_9RWI5JBew0
_zUCMfYkgj0,Taylor Swift - ME! (Live on The Voice / 2019) ft. Brendon Urie,2019-05-22T03:00:05Z,"‘folklore’ album out now: https://store.taylorswift.com 

ME! (feat. Brendon Urie of Panic! At The Disco) Live On The Voice / 2019
 
Download here: https://TaylorSwift.lnk.to/MeYD
 
►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Twitter: http://www.twitter.com/taylorswift13 
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com 
Twitter: http://www.twitter.com/taylornation13

http://vevo.ly/XESuHJ",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,11493472,393098,7077,0,12302,https://www.youtube.com/watch?v=_zUCMfYkgj0
-BjZmE2gtdo,Taylor Swift - Lover,2019-08-22T21:30:09Z,"Official music video by Taylor Swift performing “Lover” – off her new album ‘Lover.’ Stream/Download the album here: https://TaylorSwift.lnk.to/Loversu

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Director: Drew Kirsch & Taylor Swift
Producers: Tara Razavi & Megan Gutman for Happy Place, Inc.
© 2019 Taylor Swift

Official “Lover” Lyrics
Written by Taylor Swift

We could leave the Christmas lights up 
‘Til January
This is our place, we make the rules 
And there’s a dazzling haze
A mysterious way about you, dear
Have I known you 20 seconds or 20 years?
Can I go where you go?
Can we always be this close? 
Forever and ever
Take me out
And take me home
You’re my, my, my, my... 
Lover
We could let our friends crash 
In the living room
This is our place, we make the call 
And I’m highly suspicious
That everyone who sees you wants you 
I’ve loved you 3 summers now, honey 
But I want them all
Chorus
Ladies and gentlemen
Will you please stand
With every guitar string scar on my hand 
I take this magnetic force of a man
To be my lover
My heart’s been borrowed 
And yours has been blue 
All’s well that ends well 
To end up with you
Swear to be overdramatic and true 
To my lover
And you’ll save all your dirtiest jokes 
For me
And at every table, I’ll save you a seat 
Lover...
Can I go where you go?
Can we always be this close?
Forever and ever
Take me out
And take me home
You’re my, my, my, my... 
Oh you’re my, my, my, my... 
Darling you’re my, my, my, my...
Lover

© 2019 Sony/ATV Tree Publishing / Taylor Swift Music (BMI). All Rights Reserved. Used By Permission

Music video by Taylor Swift performing Lover. © 2019 Taylor Swift

http://vevo.ly/NeGo5O",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,164079252,2548823,100492,0,94871,https://www.youtube.com/watch?v=-BjZmE2gtdo
-CmadmM5cOk,Taylor Swift - Style,2015-02-13T13:20:01Z,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,676540116,3198090,151759,0,152071,https://www.youtube.com/watch?v=-CmadmM5cOk
1iRbIYkccgw,Taylor Swift - it’s time to go (Official Lyric Video),2021-01-07T05:00:01Z,"Official lyric video by Taylor Swift performing “it’s time to go” – off her evermore album (deluxe). 
Listen to the album here: http://taylor.lnk.to/evermorealbumdlx

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #itstimetogo #evermorealbum

Music video by Taylor Swift performing it’s time to go (Lyric Video). © 2021 Taylor Swift",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,7665916,239528,2669,0,10087,https://www.youtube.com/watch?v=1iRbIYkccgw
2d1wKn-oJnA,Taylor Swift - I Think He Knows (Official Audio),2019-08-23T04:00:01Z,"Official audio for ‘I Think He Knows’ performed by Taylor Swift. Off her new album ‘Lover.’ Stream/Download the album here: https://TaylorSwift.lnk.to/Loversu

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift online:
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation online:
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Official ‘I Think He Knows’ Lyrics
Written by Taylor Swift & Jack Antonoff

I think he knows
His footprints on the sidewalk
Lead to where I can’t stop
Go there every night
I think he knows his
Hands around a cold glass
Make me wanna know that
Body like it’s mine
He got that boyish look that I like in a man
I am an architect, I’m drawing up the plans
It’s like I’m seventeen
Nobody understands 
No one understands He got my heartbeat
Skipping down 16th Avenue
I got that uhh, I mean
Want to see what’s under that attitude
I want you
Bless my soul
But I ain’t gotta tell him 
I think he knows
I think he knows I think he knows
When we get all alone
I’ll make myself at home
And he’ll want me to stay
I think he knows
He’d better lock it down
Or I won’t stick around
‘Cause good ones never wait
He got that boyish look that I like in a man
I am an architect, I’m drawing up the plans
He’s so obsessed with me and boy 
I understand 
Boy I understand Chorus I want you
Bless my 
I want you
Bless my 
I want you
Bless my 
I want you
Bless my soul Lyrical smile
Indigo eyes
Hand on my thigh
We could follow the sparks I’ll drive
Lyrical smile
Indigo eyes
Hand on my thigh
We could follow the sparks
I’ll drive
So where we gonna go? 
I whisper in the dark
Where we gonna go?
I think he knows Chorus I think he
I want you
Bless my
I want you
Bless my soul
I want you
Bless my 
I want you
Bless my soul
I want you
Bless my
I want you
Bless my soul
I want you
Bless my soul
But I ain’t gotta tell him 
I think he knows

#TaylorSwift #Lover #TaylorSwiftLover

© 2019 Taylor Swift

Music video by Taylor Swift performing I Think He Knows (Visualizer). © 2019 Taylor Swift

http://vevo.ly/34Xs6t",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,10611337,144343,1586,0,4712,https://www.youtube.com/watch?v=2d1wKn-oJnA
2s5xdY6MCeI,Taylor Swift - the last great american dynasty (Official Lyric Video),2020-07-24T04:00:01Z,"Official lyric video by Taylor Swift performing “the last great american dynasty” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #thelastgreatamericandynasty #folklore",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,15935494,277043,2995,0,10825,https://www.youtube.com/watch?v=2s5xdY6MCeI
3K0RzZGpyds,Taylor Swift - Look What You Made Me Do (Lyric Video),2017-08-25T03:44:23Z,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,133905048,2035099,314265,0,202416,https://www.youtube.com/watch?v=3K0RzZGpyds
3tmd-ClpJxA,Taylor Swift - Look What You Made Me Do,2017-08-28T00:30:22Z,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,1282085162,11325534,1331529,0,746368,https://www.youtube.com/watch?v=3tmd-ClpJxA
3xGvCApIEQY,Taylor Swift - Cornelia Street (Live From Paris),2020-05-18T02:00:00Z,"►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Official ‘Cornelia Street’ Lyrics
Written by Taylor Swift

We were in the backseat
drunk on something stronger
than the drinks in the bar
I rent a place on Cornelia Street,
I say casually in the car
We were a fresh page on the desk
ﬁlling in the blanks as we go
As if the streetlights pointed in an arrowhead
leading us home And I hope I never lose you
Hope it never ends
I’d never walk Cornelia Street again
That’s the kind of heartbreak
Time could never mend
I’d never walk Cornelia Street again
And baby I get mystiﬁed by how
this city screams your name
And baby I’m so terriﬁed of if you ever walk away
I’d never walk Cornelia Street again
I’d never walk Cornelia Street again Windows ﬂung right open
Autumn air, jacket round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the ﬂoor
Back when we were card sharks
Playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone
But then you called
Showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I Chorus You hold my hand
On the street
Walk me back to that apartment
Years ago we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion
Listen... I hope I never lose you 
I’d never walk Cornelia Street again 
Never again
And baby I get mystiﬁed by how
this city screams your name
And baby I’m so terriﬁed of if you ever walk away
I’d never walk Cornelia Street again
I’d never walk Cornelia Street again
I’d never walk Cornelia Street again
I rent a place on Cornelia Street,
I say casually in the car

#TaylorSwift #LiveFromParis #CorneliaStreet

Music video by Taylor Swift performing Cornelia Street (Live From Paris / Audio). © 2020 Taylor Swift

http://vevo.ly/ZiDYvd",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,2337529,80725,656,0,4378,https://www.youtube.com/watch?v=3xGvCApIEQY
