artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Taylor Swift,06HL4z0CvFAxyc27GXpf02,5hxKw2PurC0i1VVJMAntDU,single,,2021-09-17,2021,day,0.583,0.67,8,-7.289,1,0.0646,0.0374,1e-4,0.126,0.498,140.061,1Ov37jtRQ2YNAe8HzfczkL,https://api.spotify.com/v1/audio-analysis/1Ov37jtRQ2YNAe8HzfczkL,4,,,1,220433,FALSE,https://api.spotify.com/v1/tracks/1Ov37jtRQ2YNAe8HzfczkL,FALSE,Wildest Dreams (Taylor's Version),NA,1,track,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),G#,major,G# major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,49yiYOnz2UyaNl72xvDERt,single,,2021-08-17,2021,day,0.341,0.726,0,-7.271,1,0.0699,0.315,6.27e-5,0.0948,0.63,167.949,06zIBqLC9ZRm5i0iMf0kHI,https://api.spotify.com/v1/audio-analysis/06zIBqLC9ZRm5i0iMf0kHI,4,,,1,231526,FALSE,https://api.spotify.com/v1/tracks/06zIBqLC9ZRm5i0iMf0kHI,FALSE,Renegade - Pop Version,https://p.scdn.co/mp3-preview/5792ff3d67a314bb3f0fcb2ec3387c235b848643?cid=c344451380c543e58db878126d4d7ee6,1,track,spotify:track:06zIBqLC9ZRm5i0iMf0kHI,https://open.spotify.com/track/06zIBqLC9ZRm5i0iMf0kHI,Renegade (Pop Version),C,major,C major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,40cMfQDrBCDmOaWZuNEmKq,single,,2021-07-24,2021,day,0.197,0.406,2,-10.904,1,0.0619,0.717,3.62e-4,0.293,0.251,90.053,0UAdDYrkCvVQftaKpL6q5f,https://api.spotify.com/v1/audio-analysis/0UAdDYrkCvVQftaKpL6q5f,4,,,1,227203,FALSE,https://api.spotify.com/v1/tracks/0UAdDYrkCvVQftaKpL6q5f,FALSE,the lakes - original version,NA,1,track,spotify:track:0UAdDYrkCvVQftaKpL6q5f,https://open.spotify.com/track/0UAdDYrkCvVQftaKpL6q5f,the lakes (original version),D,major,D major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4kD0pFwhEjEiF9pwUwkpNo,single,,2021-07-02,2021,day,0.532,0.708,0,-8.121,1,0.0505,0.435,0.0236,0.107,0.586,167.977,1aU1wpYBSpP0M6IiihY5Ue,https://api.spotify.com/v1/audio-analysis/1aU1wpYBSpP0M6IiihY5Ue,4,,,1,254466,FALSE,https://api.spotify.com/v1/tracks/1aU1wpYBSpP0M6IiihY5Ue,FALSE,Renegade (feat. Taylor Swift),https://p.scdn.co/mp3-preview/e3b1851865f3ee5f213dfd8d950e344e6b14ec8c?cid=c344451380c543e58db878126d4d7ee6,1,track,spotify:track:1aU1wpYBSpP0M6IiihY5Ue,https://open.spotify.com/track/1aU1wpYBSpP0M6IiihY5Ue,Renegade (feat. Taylor Swift),C,major,C major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4kD0pFwhEjEiF9pwUwkpNo,single,,2021-07-02,2021,day,0.702,0.476,9,-10.398,0,0.0264,0.866,0.397,0.0996,0.733,106.032,1gHohITQE5QT2a1jmmTTgZ,https://api.spotify.com/v1/audio-analysis/1gHohITQE5QT2a1jmmTTgZ,4,,,1,217133,FALSE,https://api.spotify.com/v1/tracks/1gHohITQE5QT2a1jmmTTgZ,FALSE,The Ghost of Cincinnati,https://p.scdn.co/mp3-preview/e31805b21412845fa2e5668bc2a007f0f941d83b?cid=c344451380c543e58db878126d4d7ee6,2,track,spotify:track:1gHohITQE5QT2a1jmmTTgZ,https://open.spotify.com/track/1gHohITQE5QT2a1jmmTTgZ,Renegade (feat. Taylor Swift),A,minor,A minor
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4kD0pFwhEjEiF9pwUwkpNo,single,,2021-07-02,2021,day,0.696,0.323,0,-10.083,1,0.0293,0.742,0.0102,0.102,0.218,129.992,6SZGCzaZWFLgAqza4vGdLV,https://api.spotify.com/v1/audio-analysis/6SZGCzaZWFLgAqza4vGdLV,4,,,1,218426,FALSE,https://api.spotify.com/v1/tracks/6SZGCzaZWFLgAqza4vGdLV,FALSE,Latter Days (feat. Anaïs Mitchell),https://p.scdn.co/mp3-preview/e6849e96bdc6fc4241aecc674c6c6909a75a352a?cid=c344451380c543e58db878126d4d7ee6,3,track,spotify:track:6SZGCzaZWFLgAqza4vGdLV,https://open.spotify.com/track/6SZGCzaZWFLgAqza4vGdLV,Renegade (feat. Taylor Swift),C,major,C major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,5C41iVpK8HXCe3qlLL3I38,single,,2021-06-14,2021,day,0.6,0.603,7,-8.696,1,0.0741,0.313,0,0.0872,0.379,168.085,77p4fRpoeiZMtUy3P9kN21,https://api.spotify.com/v1/audio-analysis/77p4fRpoeiZMtUy3P9kN21,4,,,1,225106,FALSE,https://api.spotify.com/v1/tracks/77p4fRpoeiZMtUy3P9kN21,FALSE,willow - 90's trend remix,NA,1,track,spotify:track:77p4fRpoeiZMtUy3P9kN21,https://open.spotify.com/track/77p4fRpoeiZMtUy3P9kN21,willow (90's trend remix),G,major,G major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2MbdQUj7tAaaBBhUwJE3KG,single,,2021-04-07,2021,day,0.661,0.819,11,-6.269,0,0.0519,0.167,0,0.0647,0.724,135.937,7l2tmgUhV7Y2aJHjiszifg,https://api.spotify.com/v1/audio-analysis/7l2tmgUhV7Y2aJHjiszifg,4,,,1,277591,FALSE,https://api.spotify.com/v1/tracks/7l2tmgUhV7Y2aJHjiszifg,FALSE,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),NA,1,track,spotify:track:7l2tmgUhV7Y2aJHjiszifg,https://open.spotify.com/track/7l2tmgUhV7Y2aJHjiszifg,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),B,minor,B minor
Taylor Swift,06HL4z0CvFAxyc27GXpf02,5xd9LleY1wqsgKVTwLoXYI,single,,2021-03-26,2021,day,0.589,0.496,2,-7.606,1,0.0377,0.818,0,0.101,0.44,142.731,5pcjystBtalYeqaiXCcgEY,https://api.spotify.com/v1/audio-analysis/5pcjystBtalYeqaiXCcgEY,4,,,1,220839,FALSE,https://api.spotify.com/v1/tracks/5pcjystBtalYeqaiXCcgEY,FALSE,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),NA,1,track,spotify:track:5pcjystBtalYeqaiXCcgEY,https://open.spotify.com/track/5pcjystBtalYeqaiXCcgEY,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),D,major,D major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,3x4gaf5IPyFQNrxZY07CXA,single,,2021-03-23,2021,day,0.669,0.56,11,-8.285,0,0.0352,0.00215,3.23e-5,0.264,0.155,123.068,5RaBeejGtdPEszYEKYECs2,https://api.spotify.com/v1/audio-analysis/5RaBeejGtdPEszYEKYECs2,4,,,1,211857,FALSE,https://api.spotify.com/v1/tracks/5RaBeejGtdPEszYEKYECs2,FALSE,Love Story (Taylor's Version) - Elvira Remix,NA,1,track,spotify:track:5RaBeejGtdPEszYEKYECs2,https://open.spotify.com/track/5RaBeejGtdPEszYEKYECs2,Love Story (Taylor's Version) [Elvira Remix],B,minor,B minor
